GCA_000633085.1	PRJNA241077	SAMN02713587	Contig	31/10/2008	Georgia: Tbilissi	pulmonary tuberculosis	The strain was isolated from a sputum of a patient with pulmonary tuberculosis
GCA_000675455.1	PRJNA228101	SAMN02403548	Scaffold	missing	South Africa	NULL	missing
GCA_000675475.1	PRJNA228102	SAMN02403549	Scaffold	missing	South Africa	NULL	missing
GCA_000675495.1	PRJNA228103	SAMN02403550	Scaffold	missing	South Africa	NULL	missing
GCA_000675515.1	PRJNA228104	SAMN02403551	Scaffold	missing	South Africa	NULL	missing
GCA_000675535.1	PRJNA228105	SAMN02403552	Scaffold	missing	South Africa	NULL	missing
GCA_000675555.1	PRJNA228107	SAMN02403554	Scaffold	missing	South Africa	NULL	missing
GCA_000675575.1	PRJNA228108	SAMN02403555	Scaffold	missing	South Africa	NULL	missing
GCA_000675595.1	PRJNA228111	SAMN02403558	Scaffold	missing	South Africa	NULL	missing
GCA_000675615.1	PRJNA228112	SAMN02403559	Scaffold	missing	South Africa	NULL	missing
GCA_000675635.1	PRJNA228113	SAMN02403560	Scaffold	missing	South Africa	NULL	missing
GCA_000675655.1	PRJNA228114	SAMN02403561	Scaffold	missing	South Africa	NULL	missing
GCA_000675675.1	PRJNA228115	SAMN02403562	Scaffold	missing	South Africa	NULL	missing
GCA_000675695.1	PRJNA228117	SAMN02403563	Scaffold	missing	South Africa	NULL	missing
GCA_000675715.1	PRJNA228118	SAMN02403564	Scaffold	missing	South Africa	NULL	missing
GCA_000675735.1	PRJNA228119	SAMN02403565	Scaffold	missing	South Africa	NULL	missing
GCA_000675755.1	PRJNA228120	SAMN02403566	Scaffold	missing	South Africa	NULL	missing
GCA_000675775.1	PRJNA228121	SAMN02403567	Scaffold	missing	South Africa	NULL	missing
GCA_000675795.1	PRJNA228122	SAMN02403568	Scaffold	missing	South Africa	NULL	missing
GCA_000675815.1	PRJNA228123	SAMN02403569	Scaffold	missing	South Africa	NULL	missing
GCA_000675835.1	PRJNA228124	SAMN02403570	Scaffold	missing	South Africa	NULL	missing
GCA_000675855.1	PRJNA228125	SAMN02403571	Scaffold	missing	South Africa	NULL	missing
GCA_000675875.1	PRJNA228126	SAMN02403572	Scaffold	missing	South Africa	NULL	missing
GCA_000675895.1	PRJNA228127	SAMN02403573	Scaffold	missing	South Africa	NULL	missing
GCA_000675915.1	PRJNA228128	SAMN02403574	Scaffold	missing	South Africa	NULL	missing
GCA_000675935.1	PRJNA228129	SAMN02403575	Scaffold	missing	South Africa	NULL	missing
GCA_000675955.1	PRJNA228130	SAMN02403576	Scaffold	missing	South Africa	NULL	missing
GCA_000675975.1	PRJNA228131	SAMN02403577	Scaffold	missing	South Africa	NULL	missing
GCA_000675995.1	PRJNA228132	SAMN02403578	Scaffold	missing	South Africa	NULL	missing
GCA_000676015.1	PRJNA228133	SAMN02403579	Scaffold	missing	South Africa	NULL	missing
GCA_000676035.1	PRJNA228134	SAMN02403580	Scaffold	missing	South Africa	NULL	missing
GCA_000676055.1	PRJNA228135	SAMN02403581	Scaffold	missing	South Africa	NULL	missing
GCA_000676075.1	PRJNA228136	SAMN02403582	Scaffold	missing	South Africa	NULL	missing
GCA_000676095.1	PRJNA228137	SAMN02403583	Scaffold	missing	South Africa	NULL	missing
GCA_000676115.1	PRJNA228138	SAMN02403584	Scaffold	missing	South Africa	NULL	missing
GCA_000676135.1	PRJNA228139	SAMN02403585	Scaffold	missing	South Africa	NULL	missing
GCA_000676155.1	PRJNA228140	SAMN02403586	Scaffold	missing	South Africa	NULL	missing
GCA_000676175.1	PRJNA228141	SAMN02403587	Scaffold	missing	South Africa	NULL	missing
GCA_000676195.1	PRJNA228142	SAMN02403588	Scaffold	missing	South Africa	NULL	missing
GCA_000676215.1	PRJNA228143	SAMN02403589	Scaffold	missing	South Africa	NULL	missing
GCA_000676235.1	PRJNA228144	SAMN02403590	Scaffold	missing	South Africa	NULL	missing
GCA_000676255.1	PRJNA228145	SAMN02403591	Scaffold	missing	South Africa	NULL	missing
GCA_000676275.1	PRJNA228146	SAMN02403592	Scaffold	missing	South Africa	NULL	missing
GCA_000676295.1	PRJNA228147	SAMN02403593	Scaffold	missing	South Africa	NULL	missing
GCA_000676315.1	PRJNA228148	SAMN02403594	Scaffold	missing	South Africa	NULL	missing
GCA_000676335.1	PRJNA228149	SAMN02403595	Scaffold	missing	South Africa	NULL	missing
GCA_000676355.1	PRJNA228150	SAMN02403596	Scaffold	missing	South Africa	NULL	missing
GCA_000676375.1	PRJNA228151	SAMN02403597	Scaffold	missing	South Africa	NULL	missing
GCA_000676395.1	PRJNA228152	SAMN02403598	Scaffold	missing	South Africa	NULL	missing
GCA_000676415.1	PRJNA228153	SAMN02403599	Scaffold	missing	South Africa	NULL	missing
GCA_000676435.1	PRJNA228154	SAMN02403600	Scaffold	missing	South Africa	NULL	missing
GCA_000676455.1	PRJNA228155	SAMN02403601	Scaffold	missing	South Africa	NULL	missing
GCA_000676475.1	PRJNA228156	SAMN02403602	Scaffold	missing	South Africa	NULL	missing
GCA_000676495.1	PRJNA228157	SAMN02403603	Scaffold	missing	South Africa	NULL	missing
GCA_000676515.1	PRJNA228158	SAMN02403604	Scaffold	missing	South Africa	NULL	missing
GCA_000676535.1	PRJNA228159	SAMN02403605	Scaffold	missing	South Africa	NULL	missing
GCA_000676555.1	PRJNA228160	SAMN02403606	Scaffold	missing	South Africa	NULL	missing
GCA_000676575.1	PRJNA228161	SAMN02403607	Scaffold	missing	South Africa	NULL	missing
GCA_000676595.1	PRJNA228162	SAMN02403608	Scaffold	missing	South Africa	NULL	missing
GCA_000676615.1	PRJNA228163	SAMN02403609	Scaffold	missing	South Africa	NULL	missing
GCA_000676635.1	PRJNA228164	SAMN02403610	Scaffold	missing	South Africa	NULL	missing
GCA_000676655.1	PRJNA228165	SAMN02403611	Scaffold	missing	South Africa	NULL	missing
GCA_000676675.1	PRJNA228166	SAMN02403612	Scaffold	missing	South Africa	NULL	missing
GCA_000676695.1	PRJNA228167	SAMN02403613	Scaffold	missing	South Africa	NULL	missing
GCA_000676715.1	PRJNA228168	SAMN02403614	Scaffold	missing	South Africa	NULL	missing
GCA_000676735.1	PRJNA228169	SAMN02403615	Scaffold	missing	South Africa	NULL	missing
GCA_000676755.1	PRJNA228170	SAMN02403616	Scaffold	missing	South Africa	NULL	missing
GCA_000676775.1	PRJNA228171	SAMN02403617	Scaffold	missing	South Africa	NULL	missing
GCA_000676795.1	PRJNA228172	SAMN02403618	Scaffold	missing	South Africa	NULL	missing
GCA_000676815.1	PRJNA228173	SAMN02403619	Scaffold	missing	South Africa	NULL	missing
GCA_000676835.1	PRJNA228174	SAMN02403620	Scaffold	missing	South Africa	NULL	missing
GCA_000676855.1	PRJNA228175	SAMN02403621	Scaffold	missing	South Africa	NULL	missing
GCA_000676875.1	PRJNA228176	SAMN02403622	Scaffold	missing	South Africa	NULL	missing
GCA_000676895.1	PRJNA228177	SAMN02403623	Scaffold	missing	South Africa	NULL	missing
GCA_000676915.1	PRJNA228179	SAMN02403625	Scaffold	missing	South Africa	NULL	missing
GCA_000676935.1	PRJNA228182	SAMN02403628	Scaffold	missing	South Africa	NULL	missing
GCA_000676955.1	PRJNA228183	SAMN02403629	Scaffold	missing	South Africa	NULL	missing
GCA_000676975.1	PRJNA228184	SAMN02403630	Scaffold	missing	South Africa	NULL	missing
GCA_000676995.1	PRJNA228185	SAMN02403631	Scaffold	missing	South Africa	NULL	missing
GCA_000677015.1	PRJNA228186	SAMN02403632	Scaffold	missing	South Africa	NULL	missing
GCA_000677035.1	PRJNA228187	SAMN02403633	Scaffold	missing	South Africa	NULL	missing
GCA_000677055.1	PRJNA228188	SAMN02403634	Scaffold	missing	South Africa	NULL	missing
GCA_000677075.1	PRJNA228189	SAMN02403635	Scaffold	missing	South Africa	NULL	missing
GCA_000677095.1	PRJNA228190	SAMN02403636	Scaffold	missing	South Africa	NULL	missing
GCA_000677115.1	PRJNA228191	SAMN02403637	Scaffold	missing	South Africa	NULL	missing
GCA_000677135.1	PRJNA228192	SAMN02403638	Scaffold	missing	South Africa	NULL	missing
GCA_000677155.1	PRJNA229206	SAMN02414841	Scaffold	2003	Sweden	NULL	punctuat
GCA_000677175.1	PRJNA229207	SAMN02414842	Scaffold	2003	Sweden	NULL	sputum
GCA_000677195.1	PRJNA229209	SAMN02414844	Scaffold	2005	Sweden	NULL	sputum
GCA_000677215.1	PRJNA229211	SAMN02414846	Scaffold	2003	Sweden	NULL	sputum
GCA_000677235.1	PRJNA229212	SAMN02414847	Scaffold	2003	Sweden	NULL	gland
GCA_000677255.1	PRJNA229213	SAMN02414848	Scaffold	2003	Sweden	NULL	lymph galnd
GCA_000677275.1	PRJNA229216	SAMN02414851	Scaffold	2003	Sweden	NULL	sputum
GCA_000677295.1	PRJNA229217	SAMN02414852	Scaffold	2004	Sweden	NULL	sputum
GCA_000677315.1	PRJNA229218	SAMN02414853	Scaffold	2003	Sweden	NULL	NULL
GCA_000677335.1	PRJNA229219	SAMN02414854	Scaffold	2004	Sweden	NULL	sputum
GCA_000677355.1	PRJNA229220	SAMN02414855	Scaffold	2004	Sweden	NULL	VSK
GCA_000677375.1	PRJNA229221	SAMN02414856	Scaffold	2004	Sweden	NULL	sputum
GCA_000677395.1	PRJNA229222	SAMN02414857	Scaffold	2004	Sweden	NULL	sputum
GCA_000677415.1	PRJNA229223	SAMN02414858	Scaffold	2004	Sweden	NULL	sputum
GCA_000677435.1	PRJNA229224	SAMN02414859	Scaffold	2004	Sweden	NULL	sputum
GCA_000677455.1	PRJNA229225	SAMN02414860	Scaffold	2004	Sweden	NULL	VSK
GCA_000677475.1	PRJNA229226	SAMN02414861	Scaffold	2005	Sweden	NULL	sputum
GCA_000677495.1	PRJNA229227	SAMN02414862	Scaffold	2005	Sweden	NULL	sputum
GCA_000677515.1	PRJNA229228	SAMN02414863	Scaffold	2005	Sweden	NULL	retroper. abscess
GCA_000677535.1	PRJNA229229	SAMN02414864	Scaffold	2005	Sweden	NULL	lymph galnd
GCA_000677555.1	PRJNA229230	SAMN02414865	Scaffold	2003	Sweden	NULL	bronchial
GCA_000677575.1	PRJNA229231	SAMN02414866	Scaffold	2005	Sweden	NULL	sputum
GCA_000677595.1	PRJNA229232	SAMN02414867	Scaffold	2005	Sweden	NULL	lymph galnd
GCA_000677615.1	PRJNA229233	SAMN02414868	Scaffold	2006	Sweden	NULL	lung tissue
GCA_000677635.1	PRJNA229234	SAMN02414869	Scaffold	2006	Sweden	NULL	sputum
GCA_000677655.1	PRJNA229235	SAMN02414870	Scaffold	2006	Sweden	NULL	lymph galnd
GCA_000677675.1	PRJNA229236	SAMN02414871	Scaffold	2006	Sweden	NULL	sputum
GCA_000677695.1	PRJNA229237	SAMN02414872	Scaffold	2006	Sweden	NULL	BAL
GCA_000677715.1	PRJNA229238	SAMN02414873	Scaffold	2006	Sweden	NULL	sputum
GCA_000677735.1	PRJNA229239	SAMN02414874	Scaffold	2007	Sweden	NULL	sputum
GCA_000677755.1	PRJNA229240	SAMN02414875	Scaffold	2007	Sweden	NULL	sputum
GCA_000677775.1	PRJNA229241	SAMN02414876	Scaffold	2007	Sweden	NULL	sputum
GCA_000677795.1	PRJNA229242	SAMN02414877	Scaffold	2003	Sweden	NULL	sputum
GCA_000677815.1	PRJNA229243	SAMN02414878	Scaffold	2007	Sweden	NULL	sputum
GCA_000677835.1	PRJNA229244	SAMN02414879	Scaffold	2007	Sweden	NULL	sputum
GCA_000677855.1	PRJNA229246	SAMN02414881	Scaffold	2007	Sweden	NULL	sputum
GCA_000677875.1	PRJNA229247	SAMN02414882	Scaffold	2007	Sweden	NULL	sputum
GCA_000677895.1	PRJNA229248	SAMN02414883	Scaffold	2007	Sweden	NULL	BAL
GCA_000677915.1	PRJNA229249	SAMN02414884	Scaffold	2007	Sweden	NULL	abscess
GCA_000677935.1	PRJNA229250	SAMN02414885	Scaffold	2007	Sweden	NULL	feces
GCA_000677955.1	PRJNA229251	SAMN02414886	Scaffold	2007	Sweden	NULL	sputum
GCA_000677975.1	PRJNA229252	SAMN02414887	Scaffold	2007	Sweden	NULL	sputum
GCA_000677995.1	PRJNA229253	SAMN02414888	Scaffold	2007	Sweden	NULL	sputum
GCA_000678015.1	PRJNA229255	SAMN02414890	Scaffold	2007	Sweden	NULL	sputum
GCA_000678035.1	PRJNA229256	SAMN02414891	Scaffold	2007	Sweden	NULL	bronchial
GCA_000678055.1	PRJNA229257	SAMN02414892	Scaffold	2007	Sweden	NULL	sputum
GCA_000678075.1	PRJNA229259	SAMN02414894	Scaffold	2007	Sweden	NULL	lgl
GCA_000678095.1	PRJNA229260	SAMN02414895	Scaffold	2007	Sweden	NULL	bronchial
GCA_000678115.1	PRJNA229261	SAMN02414896	Scaffold	2007	Sweden	NULL	sputum
GCA_000678135.1	PRJNA229262	SAMN02414897	Scaffold	2007	Sweden	NULL	VSK
GCA_000678155.1	PRJNA229263	SAMN02414898	Scaffold	2008	Sweden	NULL	halscysta
GCA_000678175.1	PRJNA229264	SAMN02414899	Scaffold	2008	Sweden	NULL	BAL
GCA_000678195.1	PRJNA229265	SAMN02414900	Scaffold	2008	Sweden	NULL	sputum
GCA_000678215.1	PRJNA229266	SAMN02414901	Scaffold	2008	Sweden	NULL	sputum
GCA_000678235.1	PRJNA229267	SAMN02414902	Scaffold	2008	Sweden	NULL	saknas
GCA_000678255.1	PRJNA229268	SAMN02414903	Scaffold	2008	Sweden	NULL	sputum
GCA_000678275.1	PRJNA229269	SAMN02414904	Scaffold	2008	Sweden	NULL	sputum
GCA_000678295.1	PRJNA229270	SAMN02414905	Scaffold	2008	Sweden	NULL	punctuat
GCA_000678315.1	PRJNA229271	SAMN02414906	Scaffold	2008	Sweden	NULL	Sputum
GCA_000678335.1	PRJNA229273	SAMN02414908	Scaffold	2008	Sweden	NULL	bronchial
GCA_000678355.1	PRJNA229274	SAMN02414909	Scaffold	2008	Sweden	NULL	faeces
GCA_000678375.1	PRJNA229275	SAMN02414910	Scaffold	2008	Sweden	NULL	sputum
GCA_000678395.1	PRJNA229277	SAMN02414912	Scaffold	2008	Sweden	NULL	PUS
GCA_000678415.1	PRJNA229278	SAMN02414913	Scaffold	2008	Sweden	NULL	bronchial
GCA_000678435.1	PRJNA229279	SAMN02414914	Scaffold	2008	Sweden	NULL	pericard
GCA_000678455.1	PRJNA229280	SAMN02414915	Scaffold	2009	Sweden	NULL	pericard
GCA_000678475.1	PRJNA229281	SAMN02414916	Scaffold	2009	Sweden	NULL	sputum
GCA_000678495.1	PRJNA229282	SAMN02414917	Scaffold	2009	Sweden	NULL	sputum
GCA_000678515.1	PRJNA229283	SAMN02414918	Scaffold	2009	Sweden	NULL	secrete
GCA_000678535.1	PRJNA229284	SAMN02414919	Scaffold	2009	Sweden	NULL	sputum
GCA_000678555.1	PRJNA229285	SAMN02414920	Scaffold	2009	Sweden	NULL	sputum
GCA_000678575.1	PRJNA229286	SAMN02414921	Scaffold	2009	Sweden	NULL	abscess
GCA_000678595.1	PRJNA229288	SAMN02414923	Scaffold	2009	Sweden	NULL	PX colon
GCA_000678615.1	PRJNA229289	SAMN02414924	Scaffold	2009	Sweden	NULL	sekret
GCA_000678635.1	PRJNA229290	SAMN02414925	Scaffold	2009	Sweden	NULL	sekret
GCA_000678655.1	PRJNA229291	SAMN02414926	Scaffold	2009	Sweden	NULL	pleura
GCA_000678675.1	PRJNA229292	SAMN02414927	Scaffold	2009	Sweden	NULL	bronchial
GCA_000678695.1	PRJNA229294	SAMN02414929	Scaffold	2009	Sweden	NULL	sputum
GCA_000678715.1	PRJNA229295	SAMN02414930	Scaffold	2009	Sweden	NULL	secrete
GCA_000678735.1	PRJNA229297	SAMN02414932	Scaffold	2010	Sweden	NULL	sputum
GCA_000678755.1	PRJNA229298	SAMN02414933	Scaffold	2010	Sweden	NULL	bronchail
GCA_000678775.1	PRJNA229299	SAMN02414934	Scaffold	2010	Sweden	NULL	sputum
GCA_000678795.1	PRJNA229301	SAMN02414936	Scaffold	2010	Sweden	NULL	sputum
GCA_000678815.1	PRJNA229303	SAMN02414938	Scaffold	2010	Sweden	NULL	sputum
GCA_000678835.1	PRJNA229304	SAMN02414939	Scaffold	2010	Sweden	NULL	NULL
GCA_000678855.1	PRJNA229307	SAMN02414942	Scaffold	2010	Sweden	NULL	BAL
GCA_000678875.1	PRJNA229308	SAMN02414943	Scaffold	2010	Sweden	NULL	sputum
GCA_000678895.1	PRJNA229309	SAMN02414944	Scaffold	2010	Sweden	NULL	sputum
GCA_000678915.1	PRJNA229310	SAMN02414945	Scaffold	2010	Sweden	NULL	punctuat
GCA_000678935.1	PRJNA229311	SAMN02414946	Scaffold	2010	Sweden	NULL	sputum
GCA_000678955.1	PRJNA229312	SAMN02414947	Scaffold	2010	Sweden	NULL	sputum
GCA_000678975.1	PRJNA229313	SAMN02414948	Scaffold	2010	Sweden	NULL	punctuat
GCA_000678995.1	PRJNA229314	SAMN02414949	Scaffold	2010	Sweden	NULL	BAL
GCA_000679015.1	PRJNA229315	SAMN02414950	Scaffold	2010	Sweden	NULL	sputum
GCA_000679035.1	PRJNA229316	SAMN02414951	Scaffold	2010	Sweden	NULL	sputum
GCA_000679055.1	PRJNA229317	SAMN02414952	Scaffold	2011	Sweden	NULL	punctuat
GCA_000679075.1	PRJNA229318	SAMN02414953	Scaffold	2011	Sweden	NULL	punctuat
GCA_000679095.1	PRJNA229319	SAMN02414954	Scaffold	2011	Sweden	NULL	bronchial
GCA_000679115.1	PRJNA229320	SAMN02414955	Scaffold	2011	Sweden	NULL	cerebrospinal
GCA_000679135.1	PRJNA229321	SAMN02414956	Scaffold	2011	Sweden	NULL	sputum
GCA_000679155.1	PRJNA229322	SAMN02414957	Scaffold	2011	Sweden	NULL	gland
GCA_000679175.1	PRJNA229323	SAMN02414958	Scaffold	2011	Sweden	NULL	sputum
GCA_000679195.1	PRJNA229324	SAMN02414959	Scaffold	2011	Sweden	NULL	punctuat
GCA_000679215.1	PRJNA229325	SAMN02414960	Scaffold	2011	Sweden	NULL	bronchial
GCA_000679235.1	PRJNA229326	SAMN02414961	Scaffold	2011	Sweden	NULL	NULL
GCA_000679255.1	PRJNA229327	SAMN02414962	Scaffold	2011	Sweden	NULL	Sputum
GCA_000679275.1	PRJNA229328	SAMN02414963	Scaffold	2011	Sweden	NULL	sputum
GCA_000679295.1	PRJNA229329	SAMN02414964	Scaffold	2011	Sweden	NULL	VSK
GCA_000679315.1	PRJNA229330	SAMN02414965	Scaffold	2011	Sweden	NULL	VSK
GCA_000679335.1	PRJNA229331	SAMN02414966	Scaffold	2011	Sweden	NULL	NULL
GCA_000679355.1	PRJNA229332	SAMN02414967	Scaffold	2011	Sweden	NULL	sputum
GCA_000679375.1	PRJNA229333	SAMN02414968	Scaffold	2011	Sweden	NULL	gland
GCA_000679395.1	PRJNA229334	SAMN02414969	Scaffold	2011	Sweden	NULL	sputum
GCA_000679415.1	PRJNA229335	SAMN02414970	Scaffold	2011	Sweden	NULL	sputum
GCA_000679435.1	PRJNA229336	SAMN02414971	Scaffold	2012	Sweden	NULL	tissue
GCA_000679455.1	PRJNA229337	SAMN02414972	Scaffold	2012	Sweden	NULL	sputum
GCA_000679475.1	PRJNA229338	SAMN02414973	Scaffold	2012	Sweden	NULL	punctuat
GCA_000679495.1	PRJNA229339	SAMN02414974	Scaffold	2012	Sweden	NULL	sputum
GCA_000679515.1	PRJNA229340	SAMN02414975	Scaffold	2012	Sweden	NULL	sputum
GCA_000679535.1	PRJNA229341	SAMN02414976	Scaffold	2012	Sweden	NULL	sputum
GCA_000679555.1	PRJNA229342	SAMN02414977	Scaffold	2012	Sweden	NULL	punctuat
GCA_000679575.1	PRJNA229343	SAMN02414978	Scaffold	2012	Sweden	NULL	sputum
GCA_000679595.1	PRJNA229344	SAMN02414979	Scaffold	2012	Sweden	NULL	sputum
GCA_000679615.1	PRJNA229345	SAMN02414980	Scaffold	2012	Sweden	NULL	abscess
GCA_000679635.1	PRJNA229346	SAMN02414981	Scaffold	2012	Sweden	NULL	NULL
GCA_000679655.1	PRJNA229347	SAMN02414982	Scaffold	2012	Sweden	NULL	abscess
GCA_000679675.1	PRJNA229348	SAMN02414983	Scaffold	2012	Sweden	NULL	sputum
GCA_000679695.1	PRJNA229349	SAMN02414984	Scaffold	2012	Sweden	NULL	sputum
GCA_000679715.1	PRJNA229351	SAMN02414986	Scaffold	2013	Sweden	NULL	tissue
GCA_000679735.1	PRJNA229352	SAMN02414987	Scaffold	2013	Sweden	NULL	sputum
GCA_000679755.1	PRJNA229353	SAMN02414988	Scaffold	2013	Sweden	NULL	sputum
GCA_000679775.1	PRJNA229354	SAMN02414989	Scaffold	2013	Sweden	NULL	sputum
GCA_000679795.1	PRJNA229355	SAMN02414990	Scaffold	2013	Sweden	NULL	BAL
GCA_000679815.1	PRJNA229356	SAMN02414991	Scaffold	2013	Sweden	NULL	sputum
GCA_000679835.1	PRJNA229357	SAMN02414992	Scaffold	2013	Sweden	NULL	sputum
GCA_000679855.1	PRJNA229358	SAMN02414993	Scaffold	2013	Sweden	NULL	sputum
GCA_000679875.1	PRJNA229570	SAMN02419533	Scaffold	2013	Belarus	NULL	Excreted bodily substance
GCA_000679895.1	PRJNA229571	SAMN02419534	Scaffold	2013	Belarus	NULL	Excreted bodily substance
GCA_000679915.1	PRJNA229572	SAMN02419535	Scaffold	2012	Belarus	NULL	Excreted bodily substance
GCA_000679935.1	PRJNA229573	SAMN02419536	Scaffold	2011	Belarus	NULL	Excreted bodily substance
GCA_000679955.1	PRJNA229574	SAMN02419537	Scaffold	2011	Belarus	NULL	Excreted bodily substance
GCA_000679975.1	PRJNA229575	SAMN02419538	Scaffold	2011	Belarus	NULL	Excreted bodily substance
GCA_000679995.1	PRJNA229576	SAMN02419539	Scaffold	2012	Belarus	NULL	Excreted bodily substance
GCA_000680015.1	PRJNA229578	SAMN02419541	Scaffold	2012	Belarus	NULL	Excreted bodily substance
GCA_000680035.1	PRJNA229579	SAMN02419542	Scaffold	2011	Belarus	NULL	Excreted bodily substance
GCA_000680055.1	PRJNA229580	SAMN02419543	Scaffold	2011	Belarus	NULL	Excreted bodily substance
GCA_000680075.1	PRJNA229581	SAMN02419544	Scaffold	2009	Belarus	NULL	Excreted bodily substance
GCA_000680095.1	PRJNA229582	SAMN02419545	Scaffold	2011	Belarus	NULL	Excreted bodily substance
GCA_000680115.1	PRJNA229583	SAMN02419546	Scaffold	2011	Belarus	NULL	Excreted bodily substance
GCA_000680135.1	PRJNA229584	SAMN02419547	Scaffold	2011	Belarus	NULL	Excreted bodily substance
GCA_000680155.1	PRJNA229585	SAMN02419548	Scaffold	2012	Belarus	NULL	Excreted bodily substance
GCA_000680175.1	PRJNA229586	SAMN02419549	Scaffold	2012	Belarus	NULL	Excreted bodily substance
GCA_000680195.1	PRJNA229587	SAMN02419550	Scaffold	2012	Belarus	NULL	Excreted bodily substance
GCA_000680215.1	PRJNA229588	SAMN02419551	Scaffold	2011	Belarus	NULL	Excreted bodily substance
GCA_000680235.1	PRJNA229589	SAMN02419552	Scaffold	2012	Belarus	NULL	Excreted bodily substance
GCA_000680255.1	PRJNA229590	SAMN02419553	Scaffold	2011	Belarus	NULL	Excreted bodily substance
GCA_000680275.1	PRJNA229593	SAMN02419555	Scaffold	2012	Belarus	NULL	Excreted bodily substance
GCA_000680295.1	PRJNA229594	SAMN02419556	Scaffold	2012	Belarus	NULL	Excreted bodily substance
GCA_000680315.1	PRJNA229597	SAMN02419559	Scaffold	2012	Belarus	NULL	Excreted bodily substance
GCA_000680335.1	PRJNA229598	SAMN02419560	Scaffold	2012	Belarus	NULL	Excreted bodily substance
GCA_000680355.1	PRJNA229599	SAMN02419561	Scaffold	2011	Belarus	NULL	Excreted bodily substance
GCA_000680375.1	PRJNA229600	SAMN02419562	Scaffold	2011	Belarus	NULL	Excreted bodily substance
GCA_000680395.1	PRJNA229601	SAMN02419563	Scaffold	2012	Belarus	NULL	Excreted bodily substance
GCA_000680415.1	PRJNA229602	SAMN02419564	Scaffold	2011	Belarus	NULL	Excreted bodily substance
GCA_000680435.1	PRJNA229603	SAMN02419565	Scaffold	2012	Belarus	NULL	Excreted bodily substance
GCA_000680455.1	PRJNA229604	SAMN02419566	Scaffold	2012	Belarus	NULL	Excreted bodily substance
GCA_000680475.1	PRJNA229605	SAMN02419567	Scaffold	2012	Belarus	NULL	Excreted bodily substance
GCA_000680495.1	PRJNA229606	SAMN02419568	Scaffold	2011	Belarus	NULL	Excreted bodily substance
GCA_000680515.1	PRJNA229607	SAMN02419569	Scaffold	2013	Belarus	NULL	Excreted bodily substance
GCA_000680535.1	PRJNA229609	SAMN02419571	Scaffold	2011	Belarus	NULL	Excreted bodily substance
GCA_000680555.1	PRJNA229610	SAMN02419572	Scaffold	2013	Belarus	NULL	Excreted bodily substance
GCA_000680575.1	PRJNA229611	SAMN02419573	Scaffold	2013	Belarus	NULL	Excreted bodily substance
GCA_000680595.1	PRJNA229612	SAMN02419574	Scaffold	2012	Belarus	NULL	Excreted bodily substance
GCA_000680615.1	PRJNA229613	SAMN02419575	Scaffold	2011	Belarus	NULL	Excreted bodily substance
GCA_000680635.1	PRJNA229615	SAMN02419577	Scaffold	2012	Belarus	NULL	Excreted bodily substance
GCA_000680655.1	PRJNA229616	SAMN02419578	Scaffold	2011	Belarus	NULL	Excreted bodily substance
GCA_000680675.1	PRJNA229618	SAMN02419579	Scaffold	2011	Belarus	NULL	Excreted bodily substance
GCA_000680695.1	PRJNA229619	SAMN02419580	Scaffold	2012	Belarus	NULL	Excreted bodily substance
GCA_000680715.1	PRJNA229620	SAMN02419581	Scaffold	2012	Belarus	NULL	Excreted bodily substance
GCA_000680735.1	PRJNA229621	SAMN02419582	Scaffold	2011	Belarus	NULL	Excreted bodily substance
GCA_000680755.1	PRJNA229622	SAMN02419583	Scaffold	2013	Belarus	NULL	Excreted bodily substance
GCA_000680775.1	PRJNA229623	SAMN02419584	Scaffold	2012	Belarus	NULL	Excreted bodily substance
GCA_000680795.1	PRJNA229624	SAMN02419585	Scaffold	2012	Belarus	NULL	Excreted bodily substance
GCA_000680815.1	PRJNA229625	SAMN02419586	Scaffold	2012	Belarus	NULL	Excreted bodily substance
GCA_000680835.1	PRJNA229627	SAMN02419588	Scaffold	2012	Belarus	NULL	Excreted bodily substance
GCA_000680855.1	PRJNA229628	SAMN02419589	Scaffold	2012	Belarus	NULL	Excreted bodily substance
GCA_000680875.1	PRJNA229629	SAMN02419590	Scaffold	2012	Belarus	NULL	Excreted bodily substance
GCA_000680895.1	PRJNA229630	SAMN02419591	Scaffold	2013	Belarus	NULL	Excreted bodily substance
GCA_000680915.1	PRJNA229631	SAMN02419592	Scaffold	2012	Belarus	NULL	Excreted bodily substance
GCA_000680935.1	PRJNA229632	SAMN02419593	Scaffold	2013	Belarus	NULL	Excreted bodily substance
GCA_000680955.1	PRJNA229633	SAMN02419594	Scaffold	2012	Belarus	NULL	Excreted bodily substance
GCA_000680975.1	PRJNA229634	SAMN02419595	Scaffold	2013	Belarus	NULL	Excreted bodily substance
GCA_000680995.1	PRJNA229635	SAMN02419596	Scaffold	2012	Belarus	NULL	Excreted bodily substance
GCA_000681015.1	PRJNA229636	SAMN02419597	Scaffold	2013	Belarus	NULL	Excreted bodily substance
GCA_000681035.1	PRJNA229637	SAMN02419598	Scaffold	2012	Belarus	NULL	Excreted bodily substance
GCA_000681055.1	PRJNA229638	SAMN02419599	Scaffold	2010	Belarus	NULL	Excreted bodily substance
GCA_000681075.1	PRJNA229639	SAMN02419600	Scaffold	2012	Belarus	NULL	Excreted bodily substance
